category,main,product,product_url
Herbs,Basil,Aroma 2,https://www.ufseeds.com/product/aroma-2-basil-seeds/
Herbs,Basil,Large Leaf Italian,https://www.ufseeds.com/product/large-leaf-italian-basil-seeds/
Herbs,Basil,Genovese,https://www.ufseeds.com/product/genovese-basil-seeds/
Herbs,Basil,Siam Queen,https://www.ufseeds.com/product/siam-queen-basil-seeds/
Herbs,Basil,Valentino,https://www.ufseeds.com/product/valentino-basil-seeds/
Herbs,Basil,Lemon,https://www.ufseeds.com/product/lemon-basil-seeds/
Herbs,Basil,Dark Opal,https://www.ufseeds.com/product/dark-opal-basil-seeds/
Herbs,Basil,Pistou,https://www.ufseeds.com/product/pistou-basil-seeds/
Herbs,Basil,Ararat,https://www.ufseeds.com/product/ararat-basil-seeds/
Herbs,Basil,Lime,https://www.ufseeds.com/product/lime-basil-seeds/
Herbs,Basil,Spicy Bush,https://www.ufseeds.com/product/spicy-bush-basil-seeds/
Herbs,Basil,Red Rubin,https://www.ufseeds.com/product/red-rubin-basil-seeds/
Herbs,Basil,Mrs Burns,https://www.ufseeds.com/product/mrs-burns-basil-seeds/
Herbs,Basil,Lettuce Leaf,https://www.ufseeds.com/product/lettuce-leaf-basil-seeds/
Herbs,Basil,Green Ruffles,https://www.ufseeds.com/product/green-ruffles-basil-seeds/
Herbs,Basil,Cinnamon,https://www.ufseeds.com/product/cinnamon-basil-seeds/
Herbs,Bee Balm,Wild Bergamot,https://www.ufseeds.com/product/wild-bergamot-seeds/
Herbs,Borage,Common,https://www.ufseeds.com/product/common-borage-seed/
Herbs,Catnip,Common,https://www.ufseeds.com/product/common-catnip-seeds/
Herbs,Chervil,Plain Leaf,https://www.ufseeds.com/product/chervil-plain-leaf-seeds/
Herbs,Chives,Common,https://www.ufseeds.com/product/italian-chive-seeds/
Herbs,Cilantro,Slow Bolt,https://www.ufseeds.com/product/slow-bolt-cilantro-seeds/
Herbs,Cilantro,Common,https://www.ufseeds.com/product/common-cilantro-seeds/
Herbs,Cumin,Common,https://www.ufseeds.com/product/common-cumin-seeds/
Herbs,Dill,Bouquet,https://www.ufseeds.com/product/bouquet-dill-seeds/
Herbs,Dill,Mammoth Long Island,https://www.ufseeds.com/product/mammoth-long-island-dill-seeds/
Herbs,Dill,Dukat,https://www.ufseeds.com/product/dukat-dill-seeds/
Herbs,Herb Kits,Metal Herb Garden Kit (Round),https://www.ufseeds.com/product/metal-herb-garden-kit-round/
Herbs,Herb Kits,Metal Herb Kit with Handle,https://www.ufseeds.com/product/yellow-herb-garden-kit/
Herbs,Herb Kits,Mason Jar,https://www.ufseeds.com/product/mason-jar-herb-kits/
Herbs,Herb Kits,Plant in a Bag,https://www.ufseeds.com/product/plant-in-a-bag/
Herbs,Herb Kits,Indoor Herb Kit,https://www.ufseeds.com/product/indoor-herb-kit/
Herbs,Herb Kits,Metal Herb Kit (Square),https://www.ufseeds.com/product/verdigris-copper-herb-kit-square/
Herbs,Herb Kits,"Herb Kit ""Singlets""",https://www.ufseeds.com/product/herb-kit-singlets/
Herbs,Herb Kits,Chalk Pot,https://www.ufseeds.com/product/personalized-herb-kit/
Herbs,Herb Kits,Dry Erase,https://www.ufseeds.com/product/dry-erase-herb-kits/
Herbs,Lavender,Vera,https://www.ufseeds.com/product/vera-lavender-seeds/
Herbs,Lavender,English,https://www.ufseeds.com/product/english-lavender-seeds/
Herbs,Lavender,Munstead,https://www.ufseeds.com/product/munstead-lavendar-seeds/
Herbs,Lemon Balm,Common,https://www.ufseeds.com/product/lemon-balm/
Herbs,Lemon Grass,Common,https://www.ufseeds.com/product/common-lemon-grass-seeds/
Herbs,Mint,Spearmint,https://www.ufseeds.com/product/spearmint-seeds/
Herbs,Mint,Peppermint,https://www.ufseeds.com/product/peppermint-seeds/
Herbs,Parsley,Giant of Italy,https://www.ufseeds.com/product/giant-of-italy-parsley-seeds/
Herbs,Parsley,Italian Plain Leaf,https://www.ufseeds.com/product/italian-flat-leaf-parsley-seeds/
Herbs,Parsley,Forest Green,https://www.ufseeds.com/product/forest-green-parsley-seeds/
Herbs,Parsley,Triple Curled,https://www.ufseeds.com/product/triple-curled-parsley-seeds/
Herbs,Parsley,Hamburg Rooted,https://www.ufseeds.com/product/hamburg-rooted-parsley-seeds/
Herbs,Parsley,Krausa,https://www.ufseeds.com/product/krausa-parsley-seeds/
Herbs,Rosemary,Common,https://www.ufseeds.com/product/common-rosemary-seeds/
Herbs,Sage,Broadleaf,https://www.ufseeds.com/product/broadleaf-sage-seeds/
Herbs,Sage,White,https://www.ufseeds.com/product/white-sage-seeds/
Vegetables,Artichoke,Green Globe,https://www.ufseeds.com/product/green-globe-artichoke-seeds-2/
Vegetables,Artichoke,Imperial Star,https://www.ufseeds.com/product/imperial-star-artichoke-seeds/
Vegetables,Artichoke,Wonder,https://www.ufseeds.com/product/wonder-artichoke-seeds/
Vegetables,Artichoke,Violet,https://www.ufseeds.com/product/violet-artichoke-seeds/
Vegetables,Artichoke,Purple Italian Globe,https://www.ufseeds.com/product/purple-italian-globe-artichoke-seeds/
Vegetables,Asparagus,Purple Passion,https://www.ufseeds.com/product/purple-passion-asparagus-seeds/
Vegetables,Asparagus,Mary Washington,https://www.ufseeds.com/product/mary-washington-asparagus/
Vegetables,Asparagus,Jersey Knight,https://www.ufseeds.com/product/jersey-knight-asparagus-seeds/
Vegetables,Asparagus,Popular Mix,https://www.ufseeds.com/product/asparagus-root-mix/
Vegetables,Asparagus,Jersey Giant,https://www.ufseeds.com/product/jersey-giant-asparagus-seeds/
Vegetables,Asparagus,UC157 F2,https://www.ufseeds.com/product/uc157-f2-asparagus-seeds/
Vegetables,Asparagus,Mary Washington,https://www.ufseeds.com/product/mary-washington-asparagus-roots/
Vegetables,Asparagus,Jersey Knight,https://www.ufseeds.com/product/jersey-knight-asparagus-roots/
Vegetables,Asparagus,Jersey Giant,https://www.ufseeds.com/product/jersey-giant-asparagus-roots/
Vegetables,Asparagus,Purple Passion,https://www.ufseeds.com/product/purple-passion-asparagus-roots/
Vegetables,Asparagus,Apollo,https://www.ufseeds.com/product/apollo-f1-asparagus-seeds/
Vegetables,Beans,Blue Lake FM-1K Pole,https://www.ufseeds.com/product/blue-lake-fm-1k-pole-bean-seeds/
Vegetables,Beans,Landreth Stringless,https://www.ufseeds.com/product/blue-lake-bush-bean-seeds-2/
Vegetables,Beans,Provider,https://www.ufseeds.com/product/provider-bean-seeds/
Vegetables,Beans,Garbanzo,https://www.ufseeds.com/product/garbanzo-bean-seeds/
Vegetables,Beans,Roma II,https://www.ufseeds.com/product/roma-ii-bush-bean-seeds/
Vegetables,Beans,Rattlesnake,https://www.ufseeds.com/product/rattlesnake-bean-seeds/
Vegetables,Beans,Pencil Pod Black Wax,https://www.ufseeds.com/product/pencil-pod-black-wax-bean/
